Time,Agent,X,Y,Z,Status
1753561181.78,Agent_3,-0.17,-0.38,1.0,moving
1753561181.85,Agent_3,-0.12,-0.37,1.0,moving
1753561181.91,Agent_3,-0.07,-0.36,1.0,moving
1753561181.98,Agent_3,-0.02,-0.35,1.0,moving
1753561182.05,Agent_3,0.03,-0.33,1.0,moving
1753561182.11,Agent_3,0.08,-0.32,1.0,moving
1753561182.17,Agent_3,0.13,-0.31,1.0,moving
1753561182.23,Agent_3,0.18,-0.30,1.0,moving
1753561182.30,Agent_3,0.23,-0.28,1.0,moving
1753561182.35,Agent_3,0.28,-0.27,1.0,moving
1753561182.42,Agent_3,0.33,-0.26,1.0,moving
1753561182.47,Agent_3,0.38,-0.25,1.0,moving
1753561182.54,Agent_3,0.43,-0.24,1.0,moving
1753561182.60,Agent_3,0.47,-0.22,1.0,moving
1753561182.66,Agent_3,0.52,-0.21,1.0,moving
1753561182.72,Agent_3,0.57,-0.20,1.0,moving
1753561182.79,Agent_3,0.62,-0.19,1.0,moving
1753561182.85,Agent_3,0.67,-0.17,1.0,moving
1753561182.92,Agent_3,0.72,-0.16,1.0,moving
1753561182.97,Agent_3,0.77,-0.15,1.0,moving
1753561183.04,Agent_3,0.82,-0.14,1.0,moving
1753561183.10,Agent_3,0.87,-0.12,1.0,moving
1753561183.16,Agent_3,0.92,-0.11,1.0,moving
1753561183.23,Agent_3,0.97,-0.10,1.0,moving
1753561183.29,Agent_3,1.02,-0.09,1.0,moving
1753561183.35,Agent_3,1.07,-0.08,1.0,moving
1753561183.41,Agent_1,-0.83,-0.54,1.0,moving
1753561183.47,Agent_1,-0.78,-0.53,1.0,moving
1753561183.53,Agent_1,-0.73,-0.52,1.0,moving
1753561183.59,Agent_1,-0.68,-0.51,1.0,moving
1753561183.65,Agent_1,-0.64,-0.49,1.0,moving
1753561183.72,Agent_1,-0.59,-0.48,1.0,moving
1753561183.78,Agent_1,-0.54,-0.47,1.0,moving
1753561183.84,Agent_1,-0.49,-0.46,1.0,moving
1753561183.90,Agent_1,-0.44,-0.44,1.0,moving
1753561183.96,Agent_1,-0.39,-0.43,1.0,moving
1753561184.02,Agent_1,-0.34,-0.42,1.0,moving
1753561184.09,Agent_1,-0.29,-0.41,1.0,moving
1753561184.14,Agent_1,-0.24,-0.39,1.0,moving
1753561184.21,Agent_1,-0.19,-0.38,1.0,moving
1753561184.27,Agent_1,-0.14,-0.37,1.0,moving
1753561184.33,Agent_1,-0.09,-0.36,1.0,moving
1753561184.40,Agent_1,-0.04,-0.34,1.0,moving
1753561184.47,Agent_1,0.01,-0.33,1.0,moving
1753561184.53,Agent_1,0.06,-0.32,1.0,moving
1753561184.58,Agent_1,0.10,-0.31,1.0,moving
1753561184.76,Agent_1,0.15,-0.30,1.0,moving
1753561184.88,Agent_1,0.20,-0.28,1.0,moving
1753561185.01,Agent_1,0.25,-0.27,1.0,moving
1753561185.13,Agent_1,0.30,-0.26,1.0,moving
1753561185.26,Agent_1,0.35,-0.25,1.0,moving
1753561185.38,Agent_1,0.40,-0.23,1.0,moving
1753561185.51,Agent_1,0.45,-0.22,1.0,moving
1753561185.63,Agent_1,0.50,-0.21,1.0,moving
1753561185.76,Agent_1,0.55,-0.20,1.0,moving
1753561185.88,Agent_1,0.60,-0.18,1.0,moving
1753561186.01,Agent_1,0.65,-0.17,1.0,moving
1753561186.13,Agent_1,0.70,-0.16,1.0,moving
1753561186.26,Agent_1,0.75,-0.15,1.0,moving
1753561186.38,Agent_1,0.80,-0.14,1.0,moving
1753561186.51,Agent_1,0.85,-0.12,1.0,moving
1753561186.63,Agent_1,0.89,-0.11,1.0,moving
1753561186.76,Agent_1,0.94,-0.10,1.0,moving
1753561186.88,Agent_1,0.99,-0.09,1.0,moving
1753561187.01,Agent_1,1.04,-0.07,1.0,moving
1753561187.13,Agent_1,1.09,-0.06,1.0,moving
1753561187.26,Agent_1,1.14,-0.05,1.0,moving
1753561187.38,Agent_1,1.19,-0.04,1.0,moving
1753561187.51,Agent_1,1.24,-0.02,1.0,moving
1753561187.63,Agent_1,1.29,-0.01,1.0,moving
1753561187.76,Agent_1,1.34,0.00,1.0,moving
1753561187.88,Agent_1,1.39,0.01,1.0,moving
1753561188.01,Agent_1,1.44,0.03,1.0,moving
1753561188.13,Agent_1,1.49,0.04,1.0,moving
1753561188.26,Agent_1,1.54,0.05,1.0,moving
1753561188.39,Agent_1,1.59,0.06,1.0,moving
1753561188.51,Agent_1,1.63,0.07,1.0,moving
1753561188.64,Agent_1,1.68,0.09,1.0,moving
1753561188.76,Agent_1,1.73,0.10,1.0,moving
1753561188.89,Agent_1,1.78,0.11,1.0,moving
1753561189.01,Agent_1,1.83,0.12,1.0,moving
1753561189.14,Agent_1,1.88,0.14,1.0,moving
1753561189.26,Agent_2,-1.27,-0.65,1.0,moving
